pasaje|texto|interpretación|temas|área_vida
Efesios 5:18|Y no os embriaguéis de vino, en lo cual hay disolución; mas sed llenos de Espíritu;|El versículo advierte contra la embriaguez, que puede llevar a la disolución moral y al comportamiento desordenado. En lugar de eso, se nos insta a llenarnos del Espíritu Santo, lo cual nos guía hacia una vida recta y piadosa.|['vicio']|['Salud física', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Efesios 5:19, 20|Hablando entre vosotros con salmos, y con himnos, y canciones espirituales, cantando y alabando al Señor en vuestros corazones; Dando gracias siempre de todo al Dios y Padre en el nombre de nuestro Señor Jesucristo:|Este fragmento nos anima a comunicarnos entre nosotros con palabras y canciones que alaben a Dios, y a mantener una actitud de gratitud constante hacia Dios en todo momento, a través de Jesucristo.|['alabanza', 'gratitud']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Efesios 5:22-33|Las casadas estén sujetas á sus propios maridos, como al Señor. Porque el marido es cabeza de la mujer, así como Cristo es cabeza de la iglesia; y él es el que da la salud al cuerpo. Así que, como la iglesia está sujeta á Cristo, así también las casadas lo estén á sus maridos en todo. Maridos, amad á vuestras mujeres, así como Cristo amó á la iglesia, y se entregó á sí mismo por ella, Para santificarla limpiándola en el lavacro del agua por la palabra, Para presentársela gloriosa para sí, una iglesia que no tuviese mancha ni arruga, ni cosa semejante; sino que fuese santa y sin mancha. Así también los maridos deben amar á sus mujeres como á sus mismos cuerpos. El que ama á su mujer, á sí mismo se ama. Porque ninguno aborreció jamás á su propia carne, antes la sustenta y regala, como también Cristo á la iglesia; Porque somos miembros de su cuerpo, de su carne y de sus huesos. Por esto dejará el hombre á su padre y á su madre, y se allegará á su mujer, y serán dos en una carne. Este misterio grande es: mas yo digo esto con respecto á Cristo y á la iglesia. Cada uno empero de vosotros de por sí, ame también á su mujer como á sí mismo; y la mujer reverencie á su marido.|Este pasaje habla sobre la relación entre esposos, comparándola con la relación entre Cristo y la Iglesia. Las esposas deben respetar a sus maridos, y los maridos deben amar a sus esposas con el mismo amor sacrificial que Cristo mostró por la Iglesia. La idea es que ambos se traten con amor y respeto mutuo, reflejando la unión y el amor de Cristo por su Iglesia.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Misión de vida']
Efesios 5:3|Pero fornicación y toda inmundicia, ó avaricia, ni aun se nombre entre vosotros, como conviene á santos;|El apóstol Pablo está exhortando a los cristianos a evitar la fornicación, la inmundicia y la avaricia, ya que tales comportamientos no son apropiados para aquellos que buscan vivir una vida santa.|['perversión', 'matrimonio y el sexo']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal']
Efesios 6:10|Por lo demás, hermanos míos, confortaos en el Señor, y en la potencia de su fortaleza.|Este versículo anima a los creyentes a encontrar su fuerza y consuelo en el Señor, confiando en su poder y fortaleza para enfrentar las dificultades.|['fuerza y ánimo']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Efesios 6:10, 11|Por lo demás, hermanos míos, confortaos en el Señor, y en la potencia de su fortaleza. Vestíos de toda la armadura de Dios, para que podáis estar firmes contra las asechanzas del diablo. the whole armour of God, that ye may be able to stand against the wiles of the devil.|"Pablo exhorta a los creyentes a fortalecerse en el Señor y a usar la ""armadura de Dios"" para resistir las tentaciones y ataques del diablo. La ""armadura de Dios"" es una metáfora para la fe, la justicia, la verdad, la salvación y la palabra de Dios, que protegen al creyente."|['resistencia al diablo']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Misión de vida']
Efesios 6:11, 12|Vestíos de toda la armadura de Dios, para que podáis estar firmes contra las asechanzas del diablo. Porque no tenemos lucha contra sangre y carne; sino contra principados, contra potestades, contra señores del mundo, gobernadores de estas tinieblas, contra malicias espirituales en los aires.|Ponte toda la armadura de Dios para resistir las trampas del diablo. Nuestra lucha no es contra seres humanos, sino contra fuerzas espirituales malignas.|['protección']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Misión de vida']
Efesios 6:15|Y calzados los pies con el apresto del evangelio de paz;|"Este versículo es parte de la descripción de la ""armadura de Dios"" que Pablo menciona en Efesios 6. Aquí, ""calzados los pies con el apresto del evangelio de paz"" significa estar preparados y listos para llevar el mensaje del evangelio, que es un mensaje de paz."|['paz']|['Misión de vida', 'Desarrollo/crecimiento personal']
Efesios 6:16|Sobre todo, tomando el escudo de la fe, con que podáis apagar todos los dardos de fuego del maligno.|"El ""escudo de la fe"" se refiere a la confianza y creencia en Dios que protege a los creyentes de las tentaciones y ataques del mal."|['fe']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Efesios 6:18|Orando en todo tiempo con toda deprecación y súplica en el Espíritu, y velando en ello con toda instancia y suplicación por todos los santos, with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints;|Este versículo nos exhorta a orar en todo momento, con fervor y constancia, guiados por el Espíritu Santo, y a mantenernos vigilantes y perseverantes en nuestras oraciones por todos los creyentes.|['oración']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Relaciones familiares/pareja']
Efesios 6:19, 20|Y por mí, para que me sea dada palabra en el abrir de mi boca con confianza, para hacer notorio el misterio del evangelio, Por el cual soy embajador en cadenas; que resueltamente hable de él, como debo hablar.|Pablo pide oraciones para que pueda hablar con valentía y claridad sobre el evangelio, a pesar de estar encarcelado.|['convicción']|['Misión de vida', 'Trabajo']
Efesios 6:4|Y vosotros padres, no provoquéis a ira a vuestros hijos; sino criadlos en disciplina y amonestación del Señor.|Este versículo aconseja a los padres a no provocar la ira de sus hijos, sino a criarlos con disciplina y enseñanzas basadas en los principios del Señor. La idea es educar a los hijos con amor y respeto, evitando actitudes que puedan generar resentimiento.|['disciplina/niños']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal']
Exodo 14:13|Y Moisés dijo al pueblo: No temáis; estaos quedos, y ved la salud de Jehová, que él hará hoy con vosotros; porque los Egipcios que hoy habéis visto, nunca más para siempre los veréis.|Moisés está animando al pueblo de Israel a no tener miedo y confiar en Dios, quien los salvará de los egipcios. Les asegura que los egipcios que los persiguen serán eliminados y no los verán más.|['victoria en el señor']|['Salud mental/emocional', 'Misión de vida']
Exodo 14:13, 14|Y Moisés dijo al pueblo: No temáis; estaos quedos, y ved la salud de Jehová, que él hará hoy con vosotros; porque los Egipcios que hoy habéis visto, nunca más para siempre los veréis. Jehová peleará por vosotros, y vosotros estaréis quedos.|Moisés está animando al pueblo de Israel a no tener miedo y confiar en Dios. Les asegura que Dios los salvará de los egipcios y que no tendrán que luchar, ya que Dios peleará por ellos.|['valor y audacia']|['Salud mental/emocional', 'Misión de vida']
Exodo 15:26|Y dijo: Si oyeres atentamente la voz de Jehová tu Dios, é hicieres lo recto delante de sus ojos, y dieres oído á sus mandamientos, y guardares todos sus estatutos, ninguna enfermedad de las que envié á los Egipcios te enviaré á ti; porque yo soy Jehová tu Sanador.|Dios promete protección contra enfermedades a aquellos que escuchan y obedecen sus mandamientos, haciendo lo que es correcto a sus ojos.|['salud y curación']|['Salud física', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Exodo 1:7|Y los hijos de Israel crecieron, y multiplicaron, y fueron aumentados y corroborados en extremo; y llenóse la tierra de ellos.|Este versículo describe cómo los hijos de Israel crecieron en número y se fortalecieron, llenando la tierra donde vivían.|['maternidad']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal']
Exodo 20:11|Porque en seis días hizo Jehová los cielos y la tierra, la mar y todas las cosas que en ellos hay, y reposó en el séptimo día: por tanto Jehová bendijo el día del reposo y lo santificó.|Este versículo explica que Dios creó el mundo en seis días y descansó el séptimo día. Por esta razón, Dios bendijo y santificó el día de reposo, que es el sábado.|['creación/evolución']|['Misión de vida', 'Desarrollo/crecimiento personal', 'Salud mental/emocional']
Exodo 20:14|No cometerás adulterio.|"El mandamiento ""No cometerás adulterio"" se refiere a la fidelidad en el matrimonio. Adulterio es tener relaciones sexuales con alguien que no es tu cónyuge, lo cual va en contra de la santidad del matrimonio."|['matrimonio y el sexo']|['Relaciones familiares/pareja']
Exodo 20:17|No codiciarás la casa de tu prójimo, no codiciarás la mujer de tu prójimo, ni su siervo, ni su criada, ni su buey, ni su asno, ni cosa alguna de tu prójimo.|Este mandamiento nos enseña a no desear de manera envidiosa lo que pertenece a otros, ya sea su hogar, su cónyuge, sus empleados, o sus posesiones. La codicia puede llevar a la insatisfacción y a acciones inmorales.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal', 'Dinero']
Exodo 23:20|He aquí yo envío el Angel delante de ti para que te guarde en el camino, y te introduzca en el lugar que yo he preparado.|Dios está prometiendo enviar un ángel para guiar y proteger a su pueblo en su viaje hacia la tierra prometida. Este ángel actuará como un guardián y guía, asegurando que lleguen al destino que Dios ha preparado para ellos.|['reivindicación']|['Misión de vida', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Exodo 23:25|Mas á Jehová vuestro Dios serviréis, y él bendecirá tu pan y tus aguas; y yo quitaré toda enfermedad de en medio de ti.|Este versículo promete que si servimos a Dios, Él bendecirá nuestras necesidades básicas como el pan y el agua, y nos protegerá de enfermedades.|['fuerza y ánimo']|['Salud física', 'Misión de vida']
Exodo 32:34|Ve pues ahora, lleva á este pueblo donde te he dicho: he aquí mi ángel irá delante de ti; que en el día de mi visitación yo visitaré en ellos su pecado.|Dios le dice a Moisés que continúe guiando al pueblo hacia la tierra prometida y que enviará un ángel para guiarlos. Sin embargo, también advierte que en el futuro juzgará sus pecados.|['reivindicación']|['Misión de vida', 'Desarrollo/crecimiento personal', 'Relaciones familiares/pareja']
Exodo 33:14|Y él dijo: Mi rostro irá contigo, y te haré descansar.|"En este versículo, Dios le asegura a Moisés que Su presencia estará con él y le dará descanso. ""Mi rostro"" es una forma de decir ""Mi presencia""."|['descanso en el señor', 'reivindicación']|['Misión de vida', 'Salud mental/emocional']
Ezequiel 11:16|Por tanto di: Así ha dicho el Señor Jehová: Aunque los he echado lejos entre las gentes, y los he esparcido por las tierras, con todo eso les seré por un pequeño santuario en las tierras á donde llegaren.|Dios está hablando a través del profeta Ezequiel, asegurando a los israelitas que, aunque han sido dispersados y exiliados, Él seguirá siendo su santuario y protección dondequiera que estén.|['reivindicación']|['Salud mental/emocional', 'Misión de vida', 'Relaciones familiares/pareja']
Ezequiel 13:16|Los profetas de Israel que profetizan á Jerusalem, y ven para ella visión de paz, no habiendo paz, dice el Señor Jehová.|Este versículo se refiere a los falsos profetas en Israel que proclamaban visiones de paz y seguridad para Jerusalén, cuando en realidad no había paz. Dios, a través del profeta Ezequiel, denuncia estas falsas profecías y advierte sobre las consecuencias de engañar al pueblo.|['paz']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Ezequiel 16:36-37|Así ha dicho el Señor Jehová: Por cuanto han sido descubiertas tus vergüenzas, y tu confusión ha sido manifestada á tus enamorados en tus fornicaciones; y á los ídolos de tus abominaciones, y en la sangre de tus hijos, los cuales les diste; Por tanto, he aquí que yo junto todos tus enamorados con los cuales tomaste placer, y todos los que amaste, con todos los que aborreciste; y reunirélos contra ti alrededor, y descubriréles tu vergüenza, y verán toda tu torpeza.|"Dios está hablando a Jerusalén, personificada como una mujer infiel. La ""vergüenza"" y ""confusión"" se refieren a sus actos de idolatría y traición a Dios. Dios promete exponer estos actos a todos sus amantes (naciones con las que Jerusalén se alió) y a aquellos que despreciaba, revelando su infidelidad."|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Misión de vida']
Ezequiel 22:14|¿Estará firme tu corazón? ¿tus manos serán fuertes en los días que obraré yo contra ti? Yo Jehová he hablado, y harélo.|Este versículo es una advertencia de Dios a través del profeta Ezequiel. Dios pregunta retóricamente si el corazón y las manos de las personas serán fuertes cuando Él actúe en juicio contra ellas. Es una llamada a la reflexión sobre la fortaleza y la preparación espiritual ante el juicio divino.|['crecimiento espiritual']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Ezequiel 34:11|Porque así ha dicho el Señor Jehová: He aquí, yo, yo requeriré mis ovejas, y las reconoceré.|En este versículo, Dios se presenta como el pastor que cuida de sus ovejas, es decir, su pueblo. Él promete buscar y cuidar a su pueblo, que ha sido dispersado y descuidado por los líderes corruptos.|['pastores y líderes']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Misión de vida']
Ezequiel 34:26|Y daré á ellas, y á los alrededores de mi collado, bendición; y haré descender la lluvia en su tiempo, lluvias de bendición serán.|"Este versículo habla de la promesa de Dios de bendecir a su pueblo y su tierra. La ""lluvia en su tiempo"" simboliza la provisión y las bendiciones que Dios derramará en el momento adecuado."|['suministro de dios']|['Salud física', 'Desarrollo/crecimiento personal', 'Misión de vida']
Ezequiel 36:26|Y os daré corazón nuevo, y pondré espíritu nuevo dentro de vosotros; y quitaré de vuestra carne el corazón de piedra, y os daré corazón de carne.|"Este versículo habla de la transformación espiritual que Dios promete a su pueblo. Un ""corazón de piedra"" simboliza la dureza y la insensibilidad, mientras que un ""corazón de carne"" representa la sensibilidad y la capacidad de amar y obedecer a Dios."|['crecimiento espiritual']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Misión de vida']
Ezequiel 3:9|Como diamante, más fuerte que pedernal he hecho tu frente; no los temas, ni tengas miedo delante de ellos, porque es casa rebelde.|"En este versículo, Dios le está hablando al profeta Ezequiel, diciéndole que le ha dado la fortaleza y la determinación necesarias para enfrentar a un pueblo rebelde. ""Diamante"" y ""pedernal"" son metáforas que indican dureza y resistencia."|['convicción']|['Misión de vida', 'Salud mental/emocional']
Ezequiel 7:25|Destrucción viene; y buscarán la paz, y no la habrá.|Este versículo habla de un tiempo de juicio y destrucción inminente. La gente buscará paz y alivio, pero no lo encontrarán debido a la severidad del juicio divino.|['paz']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Otros']
Filipenses 1:2|Gracia sea á vosotros, y paz de Dios nuestro Padre y del Señor Jesucristo.|Este versículo es un saludo típico de las cartas de Pablo, donde desea gracia y paz a los destinatarios, provenientes de Dios Padre y de Jesucristo.|['Jesús, el hijo de Dios - simplicidad']|['Relaciones familiares/pareja', 'Amistad', 'Salud mental/emocional']
Filipenses 1:6|Estando confiado de esto, que el que comenzó en vosotros la buena obra, la perfeccionará hasta el día de Jesucristo;|San Pablo está expresando su confianza en que Dios, quien comenzó una buena obra en los creyentes, la llevará a cabo hasta su finalización en el día de Jesucristo. Esto significa que Dios continuará trabajando en la vida de los creyentes para perfeccionarlos y hacerlos más como Cristo.|['crecimiento espiritual', 'fuerza y ánimo']|['Desarrollo/crecimiento personal', 'Misión de vida']
Filipenses 2:3-5|Nada hagáis por contienda ó por vanagloria; antes bien en humildad, estimándoos inferiores los unos á los otros: No mirando cada uno á lo suyo propio, sino cada cual también á lo de los otros. Haya, pues, en vosotros este sentir que hubo también en Cristo Jesús:|El fragmento nos exhorta a actuar con humildad y a no buscar la gloria personal. Nos anima a considerar a los demás como superiores a nosotros mismos y a no centrarnos solo en nuestros propios intereses, sino también en los de los demás. Este es el mismo sentir que tuvo Cristo Jesús.|['orgullo']|['Relaciones familiares/pareja', 'Amistad', 'Desarrollo/crecimiento personal']
Filipenses 2:5-8|Haya, pues, en vosotros este sentir que hubo también en Cristo Jesús: El cual, siendo en forma de Dios, no tuvo por usurpación ser igual á Dios: Sin embargo, se anonadó á sí mismo, tomando forma de siervo, hecho semejante á los hombres; Y hallado en la condición como hombre, se humilló á sí mismo, hecho obediente hasta la muerte, y muerte de cruz.|Este pasaje nos insta a adoptar la misma actitud de humildad y servicio que tuvo Cristo Jesús. Aunque Él era divino, no se aferró a su igualdad con Dios, sino que se vació a sí mismo, tomando la forma de un siervo y haciéndose humano. En su humanidad, se humilló aún más, siendo obediente hasta la muerte en la cruz.|['Jesús, el hijo de Dios - simplicidad']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Relaciones familiares/pareja']
Filipenses 3:13, 14|Hermanos, yo mismo no hago cuenta de haber lo ya alcanzado; pero una cosa hago: olvidando ciertamente lo que queda atrás, y extendiéndome á lo que está delante, 14 Prosigo al blanco, al premio de la soberana vocación de Dios en Cristo Jesús.|Pablo está diciendo que no se considera a sí mismo como alguien que ya ha alcanzado la perfección espiritual. En lugar de eso, se enfoca en olvidar el pasado y avanzar hacia el futuro, esforzándose por alcanzar la meta que Dios ha establecido para él en Cristo Jesús.|['crecimiento espiritual']|['Desarrollo/crecimiento personal', 'Misión de vida']
Filipenses 3:7, 8|Pero las cosas que para mí eran ganancias, helas reputado pérdidas por amor de Cristo. Y ciertamente, aun reputo todas las cosas pérdida por el eminente conocimiento de Cristo Jesús, mi Señor, por amor del cual lo he perdido todo, y téngolo por estiércol, para ganar á Cristo,|San Pablo está diciendo que todo lo que antes consideraba valioso en su vida, ahora lo considera sin valor en comparación con el conocimiento y amor de Cristo. Él ha renunciado a todo por seguir a Cristo y considera sus antiguas ganancias como basura.|['separación']|['Misión de vida', 'Desarrollo/crecimiento personal', 'Salud mental/emocional']
Filipenses 4:11|No lo digo en razón de indigencia, pues he aprendido á contentarme con lo que tengo.|El apóstol Pablo está diciendo que ha aprendido a estar contento y satisfecho con lo que tiene, independientemente de su situación material. Esto implica una actitud de gratitud y aceptación.|['gratitud']|['Salud mental/emocional', 'Desarrollo/crecimiento personal']
Filipenses 4:13|Todo lo puedo en Cristo que me fortalece.|Este versículo significa que, con la ayuda y fortaleza que Cristo nos da, somos capaces de superar cualquier desafío o dificultad.|['fuerza y ánimo', 'maternidad']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Salud mental/emocional']
Filipenses 4:19|Mi Dios, pues, suplirá todo lo que os falta conforme á sus riquezas en gloria en Cristo Jesús.|Este versículo asegura a los creyentes que Dios proveerá todas sus necesidades de acuerdo a Su gloriosa riqueza en Cristo Jesús. Es una promesa de provisión divina y cuidado.|['suministro de dios']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Filipenses 4:6|Por nada estéis afanosos; sino sean notorias vuestras peticiones delante de Dios en toda oración y ruego, con hacimiento de gracias.|Este versículo nos aconseja no preocuparnos excesivamente por las cosas, sino presentar nuestras necesidades a Dios a través de la oración y la súplica, siempre con una actitud de agradecimiento.|['gratitud']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Filipenses 4:7|Y la paz de Dios, que sobrepuja todo entendimiento, guardará vuestros corazones y vuestros entendimientos en Cristo Jesús.|Este versículo habla de la paz divina que es superior a cualquier comprensión humana. Esta paz protegerá tanto nuestros corazones como nuestras mentes en Cristo Jesús.|['descanso en el señor']|['Salud mental/emocional', 'Desarrollo/crecimiento personal']
Filipenses 4:9|Lo que aprendisteis y recibisteis y oísteis y visteis en mí, esto haced; y el Dios de paz será con vosotros.|En este versículo, San Pablo está exhortando a los filipenses a seguir su ejemplo en la fe y en la conducta. Les recuerda que todo lo que han aprendido, recibido, oído y visto en él, deben ponerlo en práctica. Al hacerlo, experimentarán la presencia y la paz de Dios en sus vidas.|['paz']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Misión de vida']
Gálatas 1:3|Gracia sea á vosotros, y paz de Dios el Padre, y de nuestro Señor Jesucristo,|Pablo, el autor de la carta a los Gálatas, comienza con una bendición deseando gracia y paz a los destinatarios de la carta, provenientes de Dios el Padre y de Jesucristo.|['paz']|['Relaciones familiares/pareja', 'Salud mental/emocional']
Gálatas 5:14|Porque toda la ley en aquesta sola palabra se cumple: Amarás á tu prójimo como á ti mismo.|"Este versículo resume la esencia de la ley de Dios en una sola frase: ""Amarás a tu prójimo como a ti mismo"". Esto significa que todas las leyes y mandamientos se cumplen si tratamos a los demás con el mismo amor y respeto con el que nos tratamos a nosotros mismos."|['amor']|['Relaciones familiares/pareja', 'Amistad', 'Desarrollo/crecimiento personal']
Gálatas 5:19-21|Y manifiestas son las obras de la carne, que son: adulterio, fornicación, inmundicia, disolución, Idolatría, hechicerías, enemistades, pleitos, celos, iras, contiendas, disensiones, herejías, Envidias, homicidios, borracheras, banqueteos, y cosas semejantes á éstas: de las cuales os denuncio, como ya os he anunciado, que los que hacen tales cosas no heredarán el reino de Dios.|"Este fragmento enumera las ""obras de la carne"", es decir, comportamientos y actitudes que son contrarios a la voluntad de Dios y que impiden a las personas heredar el reino de Dios. Estos incluyen actos sexuales inmorales, idolatría, hechicería, enemistades, celos, iras, contiendas, envidias, homicidios, borracheras y banqueteos."|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Gálatas 5:21, 23|Envidias, homicidios, borracheras, banqueteos, y cosas semejantes á éstas: de las cuales os denuncio, como ya os he anunciado, que los que hacen tales cosas no heredarán el reino de Dios. Mansedumbre, templanza: contra tales cosas no hay ley.|Pablo advierte que comportamientos como la envidia, homicidios, borracheras y banqueteos son contrarios a la voluntad de Dios y que quienes practican tales cosas no heredarán el reino de Dios. En contraste, menciona virtudes como la mansedumbre y la templanza, que son siempre aceptables y no están sujetas a ninguna ley.|['vicio']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Misión de vida']
Gálatas 5:22|Mas el fruto del Espíritu es: caridad, gozo, paz, tolerancia, benignidad, bondad, fe,|Este versículo habla de las cualidades o virtudes que se manifiestan en una persona que vive según el Espíritu Santo. Estas virtudes son: caridad (amor), gozo (alegría), paz, tolerancia (paciencia), benignidad (amabilidad), bondad y fe (fidelidad).|['paz']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Relaciones familiares/pareja']
Gálatas 5:22-23|Mas el fruto del Espíritu es: caridad, gozo, paz, tolerancia, benignidad, bondad, fe, Mansedumbre, templanza: contra tales cosas no hay ley.|"Este pasaje habla de las cualidades o virtudes que se manifiestan en una persona que vive según el Espíritu Santo. Estas virtudes son: caridad (amor), gozo (alegría), paz, tolerancia (paciencia), benignidad (amabilidad), bondad, fe (fidelidad), mansedumbre (humildad) y templanza (autocontrol). La frase ""contra tales cosas no hay ley"" significa que estas virtudes son universalmente aceptadas y no están sujetas a ninguna ley que las prohíba."|['orgullo', 'Jesús, el hijo de Dios - simplicidad']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Relaciones familiares/pareja']
Gálatas 6:16|Y todos los que anduvieren conforme á esta regla, paz sobre ellos, y misericordia, y sobre el Israel de Dios.|"Este versículo habla de la bendición de paz y misericordia para aquellos que siguen las enseñanzas de Cristo, refiriéndose también al ""Israel de Dios"", que puede interpretarse como la comunidad de creyentes."|['paz']|['Desarrollo/crecimiento personal', 'Relaciones familiares/pareja', 'Salud mental/emocional']
Gálatas 6:9|No nos cansemos, pues, de hacer bien; que á su tiempo segaremos, si no hubiéremos desmayado.|Este versículo nos anima a perseverar en hacer el bien, incluso cuando no vemos resultados inmediatos. La promesa es que, a su debido tiempo, cosecharemos los frutos de nuestras buenas acciones si no nos rendimos.|['maternidad']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Salud mental/emocional']
Génesis 12:17-18|Mas Jehová hirió á Faraón y á su casa con grandes plagas, por causa de Sarai mujer de Abram. Entonces Faraón llamó á Abram y le dijo: ¿Qué es esto que has hecho conmigo? ¿Por qué no me declaraste que era tu mujer?|Este fragmento narra cómo Dios envió plagas a Faraón y su casa porque Abram no reveló que Sarai era su esposa, lo que llevó a Faraón a tomarla como suya. Faraón confronta a Abram por no haberle dicho la verdad.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Salud física', 'Salud mental/emocional']
Génesis 13:17|Levántate, ve por la tierra á lo largo de ella y á su ancho; porque á ti la tengo de dar.|Dios le está diciendo a Abram que recorra la tierra que le ha prometido darle a él y a sus descendientes. Es una reafirmación de la promesa divina de heredar la tierra.|['reivindicación']|['Misión de vida', 'Desarrollo/crecimiento personal']
Génesis 15:15|Y tú vendrás á tus padres en paz, y serás sepultado en buena vejez.|Este versículo es parte de la promesa de Dios a Abraham, asegurándole que vivirá una vida larga y morirá en paz, siendo sepultado en una buena vejez.|['paz']|['Salud física', 'Salud mental/emocional', 'Relaciones familiares/pareja']
Génesis 16:1-3|Y SARAI, mujer de Abram no le paría: y ella tenía una sierva egipcia, que se llamaba Agar. Dijo, pues, Sarai á Abram: Ya ves que Jehová me ha hecho estéril: ruégote que entres á mi sierva; quizá tendré hijos de ella. Y atendió Abram al dicho de Sarai. Y Sarai, mujer de Abram, tomó á Agar su sierva egipcia, al cabo de diez años que había habitado Abram en la tierra de Canaán, y dióla á Abram su marido por mujer.|Sarai, la esposa de Abram, no podía tener hijos y sugirió que Abram tuviera un hijo con su sierva Agar para que así pudieran tener descendencia. Abram aceptó la sugerencia de Sarai y tomó a Agar como esposa.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal']
Génesis 18:10-12|Entonces dijo: De cierto volveré á ti según el tiempo de la vida, y he aquí, tendrá un hijo Sara tu mujer. Y Sara escuchaba á la puerta de la tienda, que estaba detrás de él. Y Abraham y Sara eran viejos, entrados en días: á Sara había cesado ya la costumbre de las mujeres. Rióse, pues, Sara entre sí, diciendo: ¿Después que he envejecido tendré deleite, siendo también mi señor ya viejo?|En este fragmento, Dios promete a Abraham que su esposa Sara tendrá un hijo, a pesar de su avanzada edad. Sara se ríe incrédula porque ya ha pasado la edad de tener hijos. Este pasaje muestra la intervención divina y la incredulidad humana ante lo imposible.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Fe/espiritualidad']
Génesis 1:1|EN el principio crió Dios los cielos y la tierra.|Este versículo marca el inicio de la creación según la Biblia, indicando que Dios es el creador de todo lo que existe, tanto los cielos como la tierra.|['creación/evolución']|['Misión de vida', 'Otros']
Génesis 1:20|Y dijo Dios: Produzcan las aguas reptil de ánima viviente, y aves que vuelen sobre la tierra, en la abierta expansión de los cielos.|Dios ordena a las aguas que produzcan seres vivos y a las aves que vuelen sobre la tierra y el cielo. Este versículo describe la creación de la vida acuática y las aves.|['creación/evolución']|['Otros']
Génesis 1:21|Y crió Dios las grandes ballenas, y toda cosa viva que anda arrastrando, que las aguas produjeron según su género, y toda ave alada según su especie: y vió Dios que era bueno.|Este versículo describe la creación de la vida marina y las aves por parte de Dios, destacando la diversidad de especies y la bondad de su creación.|['creación/evolución']|['Otros']
Génesis 1:24|Y dijo Dios: Produzca la tierra seres vivientes según su género, bestias y serpientes y animales de la tierra según su especie: y fué así.|Este versículo describe el acto de Dios creando los animales terrestres, cada uno según su especie, como parte de la creación del mundo.|['creación/evolución']|['Otros']
Génesis 1:26|Y dijo Dios: Hagamos al hombre á nuestra imagen, conforme á nuestra semejanza; y señoree en los peces de la mar, y en las aves de los cielos, y en las bestias, y en toda la tierra, y en todo animal que anda arrastrando sobre la tierra.|Dios decide crear al ser humano a su imagen y semejanza, otorgándole dominio sobre todas las criaturas de la tierra, el mar y el cielo. Esto subraya la dignidad y responsabilidad del ser humano en la creación.|['creación/evolución', 'Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal', 'Relaciones familiares/pareja']
Génesis 1:27|Y crió Dios al hombre á su imagen, á imagen de Dios lo crió; varón y hembra los crió.|Este versículo nos dice que Dios creó a los seres humanos a su imagen y semejanza, lo que implica que todos tenemos un valor intrínseco y una dignidad especial. Además, destaca que Dios creó tanto al hombre como a la mujer, subrayando la igualdad y complementariedad entre ambos.|['creación/evolución', 'aborto']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal', 'Misión de vida']
